,weight
VIX,6.121910714351361e-07
SPXT,7.405721085634101e-06
XRP-USD,9.280455754930513e-07
XCMP,1.7646520463158433e-06
BCH-USD,3.196721855516435e-07
ADA-USD,2.1465288898535719e-07
LTC-USD,2.5040362136110764e-07
MANA-USD,6.439431415098721e-07
BTC-USD,1.179634270877779e-06
XLM-USD,7.973692993800911e-07
DOGE-USD,6.243393298249418e-07
ETH-USD,9.82512999230296e-07
LINK-USD,1.2809550168872011e-06
SOFR,0.9999829959074675
