,weight
BTC-USD,3.7241055932681273e-10
SPXT,1.1968394179457835e-08
MANA-USD,8.11999615213138e-11
XCMP,6.368459237234249e-09
ADA-USD,1.254556589297302e-10
XLM-USD,6.950905393155331e-11
LINK-USD,6.541980392575901e-11
ETH-USD,2.57169183605018e-10
DOGE-USD,3.414266626055662e-11
XRP-USD,1.0138768220628674e-10
VIX,2.7392242571552846e-10
BCH-USD,3.1529978939366744e-10
LTC-USD,3.318462105241726e-10
SOFR,0.9999999796353836
