,Ann. Return,Ann. Vol,Sharpe
1/N,0.15916982805211144,0.7163277101559938,0.2222025279706815
HRPe,-0.9112417169003707,1.0333771260591673,-0.8818094516717573
TSM-HRPe,0.00625797197956347,0.136244703072009,0.04593185524618863
